,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
2,344.672821,41.1971664,4.73,-5.637,8.128,804.3,68.0,-3.13,3.34,0.0
52,344.5448608,41.3070564,-1.039,0.957,1.471,400.2,59.8,-194.4,4.06,1.0
97,344.5204163,41.2036667,-2.141,-5.247,9.862,252.4,50.1,-142.27,6.2,0.0
80,344.4754028,41.3481674,-4.17,3.423,5.513,125.7,45.5,-197.83,8.0,1.0
93,344.4165344,41.3190269,-6.824,1.675,7.639,192.9,46.4,-207.62,5.84,1.0
89,344.4308777,41.3034172,-6.177,0.738,7.225,261.7,41.5,-132.59,4.69,0.0
42,344.5628662,41.2748871,-0.227,-0.973,1.697,506.9,54.9,-196.35,3.46,1.0
98,344.490387,41.2047768,-3.495,-5.18,10.952,332.2,55.6,-91.6,4.75,0.0
121,344.5819702,41.3714981,0.634,4.823,8.063,227.3,49.9,-78.92,5.89,0.0
81,344.4720764,41.2968063,-4.32,0.342,5.151,155.9,41.9,-191.84,7.7,1.0
83,344.4646606,41.3421936,-4.654,3.065,5.583,264.0,45.5,-195.54,4.67,1.0
26,344.5989685,41.2704163,1.401,-1.242,1.936,467.1,56.4,-203.3,3.44,1.0
67,344.5057373,41.3238068,-2.802,1.962,3.438,277.7,50.0,-189.22,4.64,0.99
36,344.5711365,41.2888603,0.146,-0.135,0.207,117.7,44.7,-206.18,7.87,1.0
150,344.5400696,41.3180008,-1.255,1.613,2.303,358.2,57.1,-96.04,4.7,0.0
95,344.6997986,41.2482224,5.946,-2.573,6.596,556.5,72.0,-193.45,3.49,1.0
105,344.6480103,41.3985825,3.611,6.448,12.962,316.6,55.3,-132.65,5.05,0.0
88,344.4356384,41.326416,-5.963,2.118,6.581,201.3,43.6,-196.83,5.56,1.0
149,344.5416565,41.2769432,-1.183,-0.85,2.417,224.1,55.7,-213.27,5.45,1.0
99,344.488678,41.1946945,-3.572,-5.785,11.927,404.6,58.0,-119.39,4.29,0.0
142,344.5527954,41.3482513,-0.681,3.428,5.112,173.6,51.6,-196.03,6.86,1.0
38,344.5704651,41.2815285,0.116,-0.575,0.857,198.4,48.9,-180.34,6.1,0.96
165,344.4811707,41.2748871,-3.91,-0.973,5.753,241.3,56.9,-206.85,6.08,1.0
63,344.513031,41.2943344,-2.474,0.193,2.951,320.6,49.1,-213.03,3.07,1.0
106,344.6438293,41.3672485,3.423,4.568,9.98,250.5,53.5,-79.91,5.39,0.0
25,344.5989075,41.2610817,1.398,-1.802,2.572,348.4,51.6,-193.79,3.91,1.0
71,344.5009155,41.3395271,-3.02,2.905,4.402,431.9,59.4,-177.47,4.1,0.93
13,344.6423035,41.2650833,3.354,-1.562,3.742,256.7,48.1,-89.84,4.57,0.0
34,344.5742798,41.2684174,0.288,-1.362,2.023,294.9,47.3,-197.82,4.12,1.0
55,344.5391541,41.3093605,-1.296,1.095,1.741,250.7,50.3,-199.85,4.79,1.0
14,344.6401978,41.2258339,3.259,-3.917,5.641,449.3,52.5,-82.51,3.59,0.0
155,344.528595,41.3052788,-1.772,0.85,1.983,278.1,58.5,-192.76,5.45,1.0
134,344.5646362,41.2906952,-0.147,-0.025,0.205,233.8,48.6,-205.98,5.4,1.0
5,344.6203613,41.2039719,2.365,-5.228,7.42,408.6,54.8,-150.7,4.05,0.01
139,344.5564575,41.2610283,-0.516,-1.805,3.218,252.1,56.7,-213.14,5.14,1.0
129,344.5727234,41.3351402,0.217,2.642,4.331,253.5,57.2,-202.46,4.93,1.0
3,344.664093,41.1913605,4.337,-5.985,8.489,214.8,54.7,-36.91,5.63,0.0
15,344.6263733,41.277832,2.636,-0.797,2.92,448.3,58.6,-201.28,3.35,1.0
40,344.5652466,41.2620544,-0.12,-1.743,2.843,232.7,46.8,-213.17,4.62,1.0
54,344.5435486,41.3180847,-1.098,1.618,2.286,346.4,57.6,-216.13,3.29,0.99
100,344.4671936,41.188221,-4.54,-6.173,13.405,395.9,65.1,-78.51,5.06,0.0
29,344.598114,41.2316399,1.362,-3.568,5.112,278.3,48.3,-176.14,3.97,0.91
86,344.4416199,41.3623352,-5.693,4.273,7.196,211.8,45.6,-63.36,9.36,0.0
166,344.4790955,41.2618904,-4.004,-1.753,6.746,372.6,61.4,-199.93,4.62,1.0
163,344.4882202,41.2512207,-3.592,-2.393,7.09,270.7,57.1,-222.08,4.97,0.98
44,344.5576782,41.2956123,-0.461,0.27,0.534,317.7,55.1,-189.65,4.17,0.99
120,344.581543,41.3048897,0.615,0.827,1.802,376.4,62.5,-190.66,4.47,1.0
145,344.5467834,41.226944,-0.952,-3.85,6.752,385.6,71.7,-200.23,4.53,1.0
126,344.5769958,41.35989,0.41,4.127,6.811,529.1,59.3,-21.74,4.43,0.0
160,344.5096741,41.2155838,-2.625,-4.532,9.187,489.7,56.6,-123.68,4.11,0.0
7,344.670929,41.2325554,4.645,-3.513,5.892,511.1,54.0,-32.86,3.43,0.0
110,344.6155701,41.3080826,2.149,1.018,3.715,364.1,62.6,-199.69,4.77,1.0
60,344.5222778,41.2995567,-2.057,0.507,2.302,435.4,55.0,-206.89,3.66,1.0
162,344.4934082,41.277916,-3.358,-0.792,4.895,222.1,59.8,-190.77,5.73,1.0
85,344.4539185,41.3106956,-5.139,1.175,5.777,399.9,48.3,-191.24,3.51,1.0
28,344.5986633,41.2956963,1.387,0.275,1.968,394.0,60.7,-201.51,3.94,1.0
69,344.5020142,41.2863045,-2.97,-0.288,3.933,664.4,53.8,-205.95,3.13,1.0
78,344.480011,41.3401108,-3.962,2.94,4.982,251.5,48.1,-184.89,4.64,0.99
118,344.5889893,41.3750267,0.951,5.035,8.616,340.2,52.7,-40.14,4.62,0.0
23,344.6080017,41.2692223,1.808,-1.313,2.252,508.9,56.5,-206.14,3.31,1.0
66,344.5057373,41.3107796,-2.802,1.18,3.104,325.4,54.3,-198.89,4.23,1.0
53,344.5437012,41.292778,-1.091,0.1,1.293,483.2,50.5,-189.72,2.74,0.99
124,344.578949,41.3750839,0.498,5.038,8.314,363.1,57.4,-192.76,4.37,1.0
24,344.6067505,41.2875824,1.751,-0.212,2.047,432.6,55.1,-207.31,3.53,1.0
56,344.536377,41.3207779,-1.421,1.78,2.549,190.6,52.5,-198.39,7.01,1.0
96,344.6837158,41.2350273,5.221,-3.365,6.218,261.1,52.3,-204.86,4.5,1.0
92,344.4185486,41.3181381,-6.733,1.622,7.546,380.8,51.2,-217.45,3.68,0.99
146,344.5443726,41.2400818,-1.061,-3.062,5.603,531.9,56.7,-115.28,4.14,0.0
49,344.5505066,41.3169708,-0.784,1.552,2.192,402.4,63.3,-210.2,3.17,1.0
1,344.6809998,41.1973343,5.099,-5.627,8.227,621.9,64.3,-109.61,3.38,0.0
64,344.51297,41.2732506,-2.476,-1.072,4.157,301.0,48.2,-185.22,3.22,0.99
90,344.4259033,41.3502235,-6.402,3.547,7.328,373.8,46.9,-50.16,4.88,0.0
32,344.5768738,41.2364426,0.404,-3.28,5.0,335.5,53.8,-96.73,4.01,0.0
107,344.632843,41.4096375,2.928,7.112,13.39,268.9,60.8,-110.69,5.57,0.0
84,344.4622498,41.3571129,-4.763,3.96,6.341,476.3,58.7,-186.44,3.7,0.99
123,344.5798645,41.3269157,0.539,2.148,3.773,337.3,56.0,-187.73,4.78,0.99
11,344.6503601,41.2500572,3.717,-2.463,4.468,127.4,42.0,-185.56,6.56,0.99
132,344.5658875,41.3878593,-0.091,5.805,9.175,178.1,54.3,-204.03,6.54,1.0
168,344.4499207,41.2305565,-5.319,-3.633,10.616,666.0,72.0,-58.59,4.21,0.0
158,344.5126648,41.2882767,-2.49,-0.17,3.236,414.3,63.8,-186.64,4.56,0.99
70,344.5010681,41.329277,-3.013,2.29,3.831,432.9,54.5,-195.06,3.7,1.0
125,344.5779114,41.3450851,0.451,3.238,5.431,301.7,52.2,-170.89,4.8,0.77
76,344.4885864,41.3101387,-3.576,1.142,3.954,484.9,54.3,-209.11,6.48,1.0
43,344.559906,41.2429161,-0.36,-2.892,4.821,230.7,45.3,-204.28,4.74,1.0
